B19001_001E:Total:,B19013_001E:Median household income in the past 12 months (in 2021 inflation-adjusted dollars),state_fips,county_fips,tract_fips,year,source
1536,44315,42,003,462600,2021,ACS 2021
1408,42727,42,003,463900,2021,ACS 2021
1512,64545,42,003,464300,2021,ACS 2021
1430,20983,42,003,464400,2021,ACS 2021
1286,49904,42,003,465600,2021,ACS 2021
1576,79063,42,003,465800,2021,ACS 2021
774,63875,42,003,468700,2021,ACS 2021
1373,57723,42,003,468800,2021,ACS 2021
2043,46750,42,003,468900,2021,ACS 2021
2266,82389,42,003,469000,2021,ACS 2021
1792,62500,42,003,470300,2021,ACS 2021
1361,94596,42,003,470400,2021,ACS 2021
2232,92349,42,003,470501,2021,ACS 2021
1222,98929,42,003,470502,2021,ACS 2021
1458,63920,42,003,470600,2021,ACS 2021
669,56135,42,003,471000,2021,ACS 2021
1198,56607,42,003,472100,2021,ACS 2021
1214,55417,42,003,472200,2021,ACS 2021
987,61250,42,003,472300,2021,ACS 2021
790,87700,42,003,472400,2021,ACS 2021
2091,96824,42,003,473100,2021,ACS 2021
1513,67875,42,003,473200,2021,ACS 2021
2329,120625,42,003,473300,2021,ACS 2021
1575,107656,42,003,473401,2021,ACS 2021
1457,123125,42,003,473402,2021,ACS 2021
1267,166994,42,003,473500,2021,ACS 2021
1630,119821,42,003,473601,2021,ACS 2021
1838,96087,42,003,473602,2021,ACS 2021
1493,133792,42,003,474101,2021,ACS 2021
1373,152054,42,003,474102,2021,ACS 2021
950,144910,42,003,474201,2021,ACS 2021
1991,133438,42,003,474202,2021,ACS 2021
1768,121042,42,003,474203,2021,ACS 2021
2285,73423,42,003,475101,2021,ACS 2021
680,100682,42,003,475102,2021,ACS 2021
2230,98646,42,003,475200,2021,ACS 2021
2291,57785,42,003,475301,2021,ACS 2021
1725,117375,42,003,475303,2021,ACS 2021
2408,110313,42,003,475304,2021,ACS 2021
1840,96953,42,003,475401,2021,ACS 2021
1357,110197,42,003,475402,2021,ACS 2021
2291,58750,42,003,476100,2021,ACS 2021
1454,88900,42,003,476200,2021,ACS 2021
1697,89929,42,003,477100,2021,ACS 2021
2062,59813,42,003,477200,2021,ACS 2021
2926,55813,42,003,477300,2021,ACS 2021
1946,62361,42,003,478100,2021,ACS 2021
2522,55698,42,003,478200,2021,ACS 2021
835,71050,42,003,479000,2021,ACS 2021
2415,50184,42,003,480101,2021,ACS 2021
1195,75313,42,003,480102,2021,ACS 2021
1508,84931,42,003,480200,2021,ACS 2021
1531,61858,42,003,480300,2021,ACS 2021
2257,86375,42,003,480400,2021,ACS 2021
1360,29948,42,003,481000,2021,ACS 2021
816,65938,42,003,482500,2021,ACS 2021
1221,26992,42,003,483800,2021,ACS 2021
1410,40878,42,003,484300,2021,ACS 2021
2805,50417,42,003,484500,2021,ACS 2021
1049,32220,42,003,484600,2021,ACS 2021
572,55256,42,003,485000,2021,ACS 2021
953,35818,42,003,486700,2021,ACS 2021
533,39253,42,003,486800,2021,ACS 2021
652,37679,42,003,486900,2021,ACS 2021
850,35417,42,003,487000,2021,ACS 2021
908,58125,42,003,488100,2021,ACS 2021
1277,41997,42,003,488200,2021,ACS 2021
870,69773,42,003,488300,2021,ACS 2021
2008,56066,42,003,488400,2021,ACS 2021
1231,52375,42,003,488500,2021,ACS 2021
2013,76984,42,003,488600,2021,ACS 2021
2017,82990,42,003,489001,2021,ACS 2021
1585,84755,42,003,489002,2021,ACS 2021
2280,68828,42,003,490002,2021,ACS 2021
1397,97321,42,003,490003,2021,ACS 2021
1858,105724,42,003,490004,2021,ACS 2021
2728,133529,42,003,491101,2021,ACS 2021
945,83902,42,003,491200,2021,ACS 2021
861,33307,42,003,492700,2021,ACS 2021
1128,42745,42,003,492800,2021,ACS 2021
959,37813,42,003,492900,2021,ACS 2021
577,41488,42,003,494000,2021,ACS 2021
1403,63688,42,003,495000,2021,ACS 2021
1303,85179,42,003,496101,2021,ACS 2021
1770,68036,42,003,496102,2021,ACS 2021
2415,66734,42,003,496200,2021,ACS 2021
449,67750,42,003,497000,2021,ACS 2021
1118,63971,42,003,498000,2021,ACS 2021
732,46118,42,003,499300,2021,ACS 2021
1165,40612,42,003,499400,2021,ACS 2021
1614,57670,42,003,500300,2021,ACS 2021
805,39315,42,003,501000,2021,ACS 2021
2905,52295,42,003,503002,2021,ACS 2021
2319,36478,42,003,504100,2021,ACS 2021
1031,53702,42,003,507000,2021,ACS 2021
853,26985,42,003,508000,2021,ACS 2021
2232,36132,42,003,509400,2021,ACS 2021
778,32604,42,003,510000,2021,ACS 2021
1072,45583,42,003,512000,2021,ACS 2021
